,loss_list
0,1.6669411037539372
1,1.5303349416576615
2,1.4781814971550369
3,1.464250756496181
4,1.4494959564027534
5,1.4237549419196718
6,1.4213885051714104
7,1.415981384164342
8,1.4027183855822276
9,1.39939593803842
10,1.3968529138163863
11,0.17669059761869882
12,0.1583876461962195
13,0.15853101102591607
14,0.14869560204583931
15,0.14467943339473174
16,0.14508337817018233
17,0.1444900727734853
18,0.13823908375288194
19,0.12736363338885562
20,0.13660763645048113
21,0.14460140263677526
22,0.1231506722486386
23,0.1337757721743973
24,0.12946440569308731
25,0.13404608824327197
26,0.12526034047941031
27,0.12104083954997118
28,0.12725061537452015
29,0.11857631304297267
